Date,White1,White2,White3,White4,White5,Powerball
2017-01-28,12,20,39,49,69,17
2017-02-01,9,43,57,60,64,10
2017-02-04,6,13,16,17,52,25
2017-02-08,14,20,42,49,66,5
2017-02-11,5,9,17,37,64,2
2017-02-15,5,28,33,38,42,19
2017-02-18,3,7,9,31,33,20
2017-02-22,10,13,28,52,61,2
2017-02-25,6,32,47,62,65,19
2017-03-01,10,16,40,52,55,17
2017-03-04,2,18,19,22,63,19
2017-03-08,23,33,42,46,59,4
2017-03-11,1,26,41,50,57,11
2017-03-15,16,30,41,48,53,16
2017-03-18,13,25,44,54,67,5
2017-03-22,2,9,27,29,42,9
2017-03-25,18,31,32,45,48,16
2017-03-29,8,15,31,36,62,11
2017-04-01,9,32,36,44,65,1
2017-04-05,8,20,46,53,54,13
2017-04-08,23,36,51,53,60,15
2017-04-12,8,14,61,63,68,24
2017-04-15,5,22,26,45,61,13
2017-04-19,1,19,37,40,52,15
2017-04-22,21,39,41,48,63,6
2017-04-26,1,15,18,26,51,26
2017-04-29,22,23,24,45,62,5
2017-05-03,17,18,49,59,66,9
2017-05-06,11,21,31,41,59,21
2017-05-10,29,31,46,56,62,8
2017-05-13,17,20,32,63,68,19
2017-05-17,4,11,39,45,48,9
2017-05-20,5,22,45,47,54,3
2017-05-24,28,32,33,38,62,15
2017-05-27,5,10,28,55,67,9
2017-05-31,4,33,39,46,60,6
2017-06-03,3,9,21,41,54,25
2017-06-07,5,21,57,66,69,13
2017-06-14,5,22,43,57,63,24
2017-06-17,10,13,32,53,62,21
2017-06-21,14,46,61,65,68,13
2017-06-24,10,22,32,36,58,10
2017-06-28,29,37,46,53,68,8
2017-07-01,19,42,45,48,53,16
2017-07-05,4,9,16,54,68,21
2017-07-08,8,10,29,40,59,26
2017-07-12,1,2,18,23,61,9
2017-07-15,9,40,63,64,66,17
2017-07-19,50,51,59,61,63,4
2017-07-22,5,32,44,53,60,9
2017-07-26,7,19,21,42,69,12
2017-07-29,1,28,40,45,48,12
2017-08-02,1,16,54,63,69,18
2017-08-05,11,21,28,33,45,11
2017-08-09,12,30,36,47,62,9
2017-08-12,20,24,26,35,49,19
2017-08-16,9,15,43,60,64,4
2017-08-19,17,19,39,43,68,13
2017-08-23,6,7,16,23,26,4
2017-08-26,7,15,32,38,66,15
2017-08-30,19,28,43,67,69,7
2017-09-02,6,21,41,52,62,26
2017-09-06,8,14,32,58,67,17
2017-09-09,6,20,29,57,59,22
2017-09-13,17,24,35,57,63,19
2017-09-16,17,18,24,25,31,24
2017-09-20,39,48,53,67,68,26
2017-09-23,24,45,55,56,57,19
2017-09-27,8,10,21,23,25,22
2017-09-30,8,12,25,41,64,15
2017-10-04,22,23,62,63,66,24
2017-10-07,10,49,61,63,65,7
2017-10-11,1,3,13,19,69,23
2017-10-14,32,37,56,66,69,11
2017-10-18,30,49,54,66,69,8
2017-10-21,14,41,42,45,69,4
2017-10-25,18,22,29,54,57,8
2017-10-28,27,35,38,57,66,10
2017-11-01,3,6,19,26,44,1
2017-11-04,12,14,26,48,51,13
2017-11-08,12,14,20,21,34,22
2017-11-11,4,6,16,30,56,18
2017-11-15,23,32,44,48,50,25
2017-11-18,17,28,31,32,39,26
2017-11-22,35,37,46,51,61,13
2017-11-25,8,13,27,53,54,4
2017-11-29,24,26,28,59,63,16
2017-12-02,28,30,32,36,58,6
2017-12-06,19,20,50,55,62,9
2017-12-09,25,36,37,55,60,6
2017-12-13,2,24,28,51,58,7
2017-12-16,9,35,37,50,63,11
2017-12-20,1,20,61,64,69,20
2017-12-23,1,3,13,15,44,25
2017-12-27,3,9,16,56,60,3
2017-12-30,28,36,41,51,58,24
2018-01-03,2,18,37,39,42,12
2018-01-06,12,61,30,29,33,26
2018-01-10,7,24,33,49,50,4
2018-01-13,14,25,35,58,69,24
2018-01-17,3,33,37,51,57,21
2018-01-20,26,28,47,49,58,3
2018-01-24,5,9,11,33,64,21
2018-01-27,17,21,26,47,54,7
2018-01-31,4,7,14,46,59,22
2018-02-03,15,23,27,48,53,6
2018-02-07,23,34,35,40,47,10
2018-02-10,1,13,27,41,59,20
2018-02-14,37,39,44,46,69,26
2018-02-17,13,26,39,44,62,2
2018-02-21,7,15,31,34,36,8
2018-02-24,24,25,38,62,63,6
2018-02-28,12,30,59,65,69,16
2018-03-03,13,17,25,36,40,5
2018-03-07,6,13,19,36,51,18
2018-03-10,43,44,54,61,69,22
2018-03-14,6,12,24,41,68,9
2018-03-17,22,57,59,60,66,7
2018-03-21,3,4,18,29,61,25
2018-03-24,10,33,45,53,56,24
2018-03-28,6,8,26,52,53,21
2018-03-31,8,24,52,55,61,21
2018-04-04,8,24,42,54,64,24
2018-04-07,2,17,20,38,39,20
2018-04-11,16,18,27,55,67,18
2018-04-14,17,19,26,61,62,15
2018-04-18,9,10,12,17,23,9
2018-04-21,40,50,54,62,69,19
2018-04-25,17,18,39,56,64,12
2018-04-28,20,22,28,45,50,8
2018-05-02,5,14,31,40,50,6
2018-05-05,14,29,36,57,61,17
2018-05-09,11,16,38,50,69,19
2018-05-12,22,42,45,55,56,14
2018-05-16,17,19,21,22,51,19
2018-05-19,3,6,9,17,56,25
2018-05-23,20,54,56,61,64,7
2018-05-26,1,21,31,45,49,21
2018-05-30,17,23,26,46,68,20
2018-06-02,23,25,37,44,64,7
2018-06-06,23,28,41,53,56,14
2018-06-09,6,10,15,25,36,14
2018-06-13,13,20,38,45,55,1
2018-06-16,9,45,57,58,65,9
2018-06-20,4,14,23,27,56,13
2018-06-23,16,29,43,45,56,25
2018-06-27,7,28,37,62,63,15
2018-06-30,3,9,20,42,61,24
2018-07-04,4,7,15,41,44,10
2018-07-07,1,10,43,45,64,22
2018-07-11,19,21,27,46,47,7
2018-07-14,22,41,42,49,67,11
2018-07-18,1,10,27,28,36,12
2018-07-21,9,23,56,58,68,1
2018-07-25,2,18,41,44,64,26
2018-07-28,22,27,46,56,65,13
2018-08-01,5,22,32,38,58,26
2018-08-04,3,11,38,44,58,2
2018-08-08,10,21,30,43,63,17
2018-08-11,5,43,56,62,68,24
2018-08-15,12,15,28,47,48,16
2018-08-18,24,34,52,61,67,16
2018-08-22,1,7,45,47,69,13
2018-08-25,20,25,54,57,63,8
2018-08-29,25,41,53,57,67,12
2018-09-01,11,54,55,61,66,9
2018-09-05,6,15,50,59,60,13
2018-09-08,3,13,20,32,33,21
2018-09-12,6,28,48,63,64,24
2018-09-15,2,18,19,24,34,3
2018-09-19,4,39,48,50,51,11
2018-09-22,24,61,63,64,69,18
2018-09-26,1,2,7,30,50,8
2018-09-29,9,17,34,59,64,22
2018-10-03,41,53,59,63,66,3
2018-10-06,1,22,27,53,67,15
2018-10-10,8,23,27,42,60,7
2018-10-13,11,14,32,43,65,15
2018-10-17,3,57,64,68,69,15
2018-10-20,16,54,57,62,69,23
2018-10-24,3,21,45,53,56,22
2018-10-27,8,12,13,19,27,4
2018-10-31,7,25,39,40,47,20
2018-11-03,15,21,24,32,65,11
2018-11-07,26,28,34,42,50,25
2018-11-10,5,29,34,53,57,24
2018-11-14,7,42,49,62,69,23
2018-11-17,6,8,20,52,68,5
2018-11-21,7,14,23,38,55,18
2018-11-24,11,33,51,56,58,18
2018-11-28,4,19,59,68,69,21
2018-12-01,10,11,47,55,58,26
2018-12-05,9,11,36,37,38,11
2018-12-08,14,32,34,46,61,10
2018-12-12,4,9,21,29,64,26
2018-12-15,8,38,43,52,55,17
2018-12-19,15,29,31,37,43,16
2018-12-22,21,28,30,40,59,26
2018-12-26,5,25,38,52,67,24
2018-12-29,12,42,51,53,62,25
2019-01-02,8,12,42,46,56,12
2019-01-05,3,7,15,27,69,19
2019-01-09,6,19,37,49,59,22
2019-01-12,7,36,48,57,58,24
2019-01-16,14,29,31,56,61,1
2019-01-19,5,8,41,65,66,20
2019-01-23,23,25,47,48,50,24
2019-01-26,8,12,20,21,32,10
2019-01-30,2,12,16,29,54,6
2019-02-02,10,17,18,43,65,13
2019-02-06,5,13,28,38,63,21
2019-02-09,1,2,3,7,39,25
2019-02-13,2,8,14,24,69,26
2019-02-16,29,30,41,48,64,1
2019-02-20,27,49,50,51,52,2
2019-02-23,4,6,14,20,32,13
2019-02-27,21,31,42,49,59,23
2019-03-02,1,19,25,27,68,21
2019-03-06,6,10,21,35,46,23
2019-03-09,5,6,45,55,59,14
2019-03-13,18,36,45,47,69,14
2019-03-16,30,34,39,53,67,11
2019-03-20,10,14,50,53,63,21
2019-03-23,24,25,52,60,66,5
2019-03-27,16,20,37,44,62,12
2019-03-30,21,52,54,64,68,4
2019-04-03,16,19,25,32,49,18
2019-04-06,15,33,43,59,60,8
2019-04-10,12,21,23,39,67,6
2019-04-13,4,17,26,32,49,10
2019-04-17,1,15,17,46,66,15
2019-04-20,3,27,30,63,65,1
2019-04-24,6,32,35,36,65,4
2019-04-27,2,29,41,45,62,6
2019-05-01,5,23,28,56,66,17
2019-05-04,6,16,23,30,61,2
2019-05-08,1,45,53,64,66,3
2019-05-11,6,8,9,37,40,26
2019-05-15,7,17,33,61,68,4
2019-05-18,2,10,25,66,67,26
2019-05-22,7,10,20,44,57,3
2019-05-25,1,2,39,43,66,2
2019-05-29,3,32,34,42,61,7
2019-06-01,6,15,34,45,52,8
2019-06-05,17,23,28,34,38,8
2019-06-08,9,13,42,48,60,18
2019-06-12,5,35,38,42,57,13
2019-06-15,8,11,14,16,49,14
2019-06-19,4,18,21,26,38,1
2019-06-22,3,6,11,14,66,21
2019-06-26,1,5,16,22,54,24
2019-06-29,13,17,24,59,62,8
2019-07-03,40,43,45,50,61,25
2019-07-06,4,8,23,46,65,1
2019-07-10,7,9,26,44,68,3
2019-07-13,13,23,32,35,68,21
2019-07-17,19,43,47,60,68,10
2019-07-20,5,26,36,64,69,19
2019-07-24,22,29,35,53,56,13
2019-07-27,1,19,31,48,61,6
2019-07-31,14,37,47,55,67,6
2019-08-03,3,6,45,66,68,13
2019-08-07,8,32,47,53,59,3
2019-08-10,35,41,44,58,59,3
2019-08-14,10,13,30,51,69,10
2019-08-17,18,21,24,30,60,20
2019-08-21,12,21,22,29,32,21
2019-08-24,5,12,20,21,47,1
2019-08-28,9,32,37,41,56,14
2019-08-31,14,41,50,56,57,18
2019-09-04,4,8,30,52,59,2
2019-09-07,11,20,41,42,56,6
2019-09-11,6,17,24,53,57,3
2019-09-14,11,27,31,36,67,11
2019-09-18,14,19,39,47,51,15
2019-09-21,1,9,22,36,68,22
2019-09-25,37,43,44,45,53,25
2019-09-28,15,23,34,51,55,4
2019-10-02,4,8,10,43,53,7
2019-10-05,6,14,36,51,54,4
2019-10-09,5,18,33,43,65,2
2019-10-12,12,29,34,53,65,23
2019-10-16,1,5,25,63,67,3
2019-10-19,14,27,29,59,65,12
2019-10-23,5,12,50,61,69,23
2019-10-26,3,20,48,54,59,4
2019-10-30,19,22,52,56,67,21
2019-11-02,3,23,32,37,58,22
2019-11-06,15,28,46,62,64,17
2019-11-09,14,17,35,38,60,25
2019-11-13,23,26,27,28,66,11
2019-11-16,14,22,26,55,63,26
2019-11-20,7,15,39,40,57,12
2019-11-23,28,35,38,61,66,23
2019-11-27,15,26,37,53,55,21
2019-11-30,15,35,42,63,68,18
2019-12-04,8,27,44,51,61,14
2019-12-07,18,42,53,62,66,25
2019-12-11,24,29,42,44,63,10
2019-12-14,3,6,12,32,64,19
2019-12-18,14,18,26,39,68,9
2019-12-21,19,31,35,50,67,14
2019-12-25,2,4,16,30,46,20
2019-12-28,20,23,39,59,60,18
2020-01-01,49,53,57,59,62,26
2020-01-04,1,11,21,25,54,7
2020-01-08,2,4,7,43,56,22
2020-01-11,3,21,23,31,59,3
2020-01-15,39,41,53,55,68,19
2020-01-18,20,24,38,56,68,18
2020-01-22,11,33,44,59,67,8
2020-01-25,2,9,17,36,67,18
2020-01-29,9,12,15,31,60,2
2020-02-01,12,33,54,57,60,13
2020-02-05,23,30,35,41,57,2
2020-02-08,35,49,50,59,66,6
2020-02-12,14,47,54,55,68,25
2020-02-15,16,32,35,36,46,3
2020-02-19,10,12,15,19,56,19
2020-02-22,25,37,39,61,62,11
2020-02-26,8,27,29,36,47,24
2020-02-29,24,44,46,50,51,13
2020-03-04,18,43,58,60,68,14
2020-03-07,7,15,21,33,62,23
2020-03-11,4,29,49,50,67,2
2020-03-14,9,23,26,30,32,8
2020-03-18,15,27,44,59,63,8
2020-03-21,2,23,40,59,69,13
2020-03-25,5,9,27,39,42,16
2020-03-28,7,40,48,55,66,11
2020-04-01,33,35,45,48,60,16
2020-04-04,8,31,39,40,43,4
2020-04-08,2,37,39,48,54,5
2020-04-11,22,29,30,42,47,17
2020-04-15,10,12,33,36,41,2
2020-04-18,4,44,46,56,63,19
2020-04-22,1,33,35,40,69,24
2020-04-25,1,3,21,47,57,18
2020-04-29,2,20,49,61,67,20
2020-05-02,13,16,33,58,68,24
2020-05-06,7,8,35,50,65,20
2020-05-09,12,18,42,48,65,19
2020-05-13,39,53,54,56,57,20
2020-05-16,8,12,26,39,42,11
2020-05-20,18,34,40,42,50,9
2020-05-23,2,8,18,21,23,16
2020-05-27,38,58,59,64,68,21
2020-05-30,13,32,41,58,60,14
2020-06-03,1,3,26,41,64,17
2020-06-06,1,17,38,68,69,18
2020-06-10,10,33,41,52,54,18
2020-06-13,2,12,32,50,65,5
2020-06-17,7,10,63,64,68,10
2020-06-20,10,31,41,63,67,5
2020-06-24,15,22,27,33,46,23
2020-06-27,9,36,49,56,62,8
2020-07-01,15,28,52,53,63,18
2020-07-04,16,21,27,60,61,6
2020-07-08,3,10,34,36,62,5
2020-07-11,14,19,61,62,64,4
2020-07-15,27,47,61,62,69,4
2020-07-18,13,16,32,58,59,9
2020-07-22,16,25,36,44,55,14
2020-07-25,5,21,36,61,62,18
2020-07-29,7,29,35,40,45,26
2020-08-01,6,25,36,43,48,24
2020-08-05,7,14,17,57,65,24
2020-08-08,2,3,14,40,51,24
2020-08-12,2,6,18,36,37,21
2020-08-15,5,12,34,45,56,3
2020-08-19,13,23,47,55,58,23
2020-08-22,19,30,36,42,66,14
2020-08-26,8,12,19,47,58,2
2020-08-29,5,21,22,29,43,10
2020-09-02,1,4,11,20,69,18
2020-09-05,15,21,22,27,47,7
2020-09-09,27,52,55,60,64,21
2020-09-12,16,17,20,53,67,4
2020-09-16,10,17,31,51,53,1
2020-09-19,11,14,23,47,57,14
2020-09-23,8,17,49,52,59,1
2020-09-26,11,21,27,36,62,24
2020-09-30,14,18,36,49,67,18
2020-10-03,18,31,36,43,47,20
2020-10-07,6,24,30,53,56,19
2020-10-10,5,18,23,40,50,18
2020-10-14,21,37,52,53,58,5
2020-10-17,6,10,31,37,44,23
2020-10-21,1,3,13,44,56,26
2020-10-24,18,20,27,45,65,6
2020-10-28,11,28,37,40,53,13
2020-10-31,2,6,40,42,55,24
2020-11-04,23,32,33,45,49,14
2020-11-07,14,16,37,48,58,18
2020-11-11,13,15,17,45,63,13
2020-11-14,7,15,18,32,45,20
2020-11-18,4,5,17,43,52,5
2020-11-21,51,54,57,60,69,11
2020-11-25,2,57,58,60,65,26
2020-11-28,8,12,18,44,51,18
2020-12-02,28,31,40,41,46,4
2020-12-05,3,4,6,48,53,10
2020-12-09,11,14,31,47,48,4
2020-12-12,17,54,56,63,69,20
2020-12-16,4,23,37,61,67,7
2020-12-19,27,32,34,43,52,13
2020-12-23,6,13,38,39,53,6
2020-12-26,10,24,27,35,53,18
2020-12-30,3,43,45,61,65,14
2021-01-02,3,4,11,41,67,5
2021-01-06,1,20,22,60,66,3
2021-01-09,14,26,38,45,46,13
2021-01-13,4,19,23,25,49,14
2021-01-16,14,20,39,65,67,2
2021-01-20,40,53,60,68,69,22
2021-01-23,5,8,17,27,28,14
2021-01-27,17,33,35,42,52,9
2021-01-30,1,2,7,52,61,4
2021-02-03,5,37,40,64,66,5
2021-02-06,1,16,48,49,65,8
2021-02-10,15,39,58,63,67,7
2021-02-13,20,28,33,63,68,20
2021-02-17,1,15,21,32,46,1
2021-02-20,4,8,22,32,58,4
2021-02-24,4,33,43,53,65,21
2021-02-27,2,28,31,44,52,18
2021-03-03,21,40,44,50,55,16
2021-03-06,11,31,50,52,58,18
2021-03-10,17,18,37,44,53,18
2021-03-13,5,11,51,56,61,2
2021-03-17,34,38,42,61,62,19
2021-03-20,1,6,22,42,61,4
2021-03-24,4,9,17,27,38,18
2021-03-27,6,14,38,39,65,6
2021-03-31,3,10,44,55,68,24
2021-04-03,1,12,17,39,53,5
2021-04-07,27,35,39,51,66,16
2021-04-10,14,16,23,50,53,3
2021-04-14,13,30,33,45,61,14
2021-04-17,10,21,26,41,49,25
2021-04-21,21,25,32,63,67,6
2021-04-24,22,36,48,59,61,22
2021-05-01,35,36,47,61,63,3
2021-05-05,16,23,28,40,63,1
2021-05-08,12,17,20,21,26,8
2021-05-12,1,19,20,38,54,17
2021-05-15,4,10,37,39,69,24
2021-05-19,11,13,55,56,69,4
2021-05-22,3,19,27,37,40,8
2021-05-26,2,8,21,34,62,16
2021-05-29,11,13,22,27,46,20
2021-06-02,6,7,11,66,67,19
2021-06-05,44,52,54,64,69,26
2021-06-09,19,28,46,50,54,9
2021-06-12,8,25,34,38,41,10
2021-06-16,19,29,34,44,50,25
2021-06-19,4,22,35,38,39,20
2021-06-23,13,20,40,51,63,1
2021-06-26,8,31,39,43,60,17
2021-06-30,24,29,50,65,66,14
2021-07-03,26,40,41,55,65,24
2021-07-07,8,21,30,49,57,8
2021-07-10,1,5,29,54,62,3
2021-07-14,33,46,52,59,62,10
2021-07-17,15,22,38,54,66,3
2021-07-21,27,28,44,67,68,11
2021-07-24,1,4,11,59,67,10
2021-07-28,25,30,53,59,60,5
2021-07-31,1,21,22,34,47,4
2021-08-04,5,21,32,36,58,14
2021-08-07,7,24,36,54,60,23
2021-08-11,12,18,20,29,30,16
2021-08-14,6,21,49,65,67,18
2021-08-18,35,36,51,55,61,26
2021-08-21,16,28,36,39,59,4
2021-08-23,17,36,47,60,61,15
2021-08-25,27,39,54,56,59,24
2021-08-28,12,22,26,46,59,26
2021-08-30,3,15,45,51,61,8
2021-09-01,10,20,29,48,51,17
2021-09-04,32,35,40,52,54,1
2021-09-06,11,20,22,33,54,24
2021-09-08,9,22,41,47,61,21
2021-09-11,20,31,38,40,49,21
2021-09-13,37,40,50,61,63,21
2021-09-15,1,4,18,46,62,25
2021-09-18,5,36,39,45,57,11
2021-09-20,37,51,54,58,60,19
2021-09-22,20,40,47,55,63,5
2021-09-25,22,23,37,62,63,19
2021-09-27,21,22,39,44,60,12
2021-09-29,2,7,11,17,32,11
2021-10-02,28,38,42,47,52,1
2021-10-04,12,22,54,66,69,15
2021-10-06,1,17,52,58,64,1
2021-10-09,12,17,30,45,62,5
2021-10-11,11,20,33,39,65,24
2021-10-13,23,29,47,59,60,15
2021-10-16,30,31,41,42,48,3
2021-10-18,30,32,48,53,63,12
2021-10-20,7,29,36,41,43,5
2021-10-23,10,30,51,57,63,20
2021-10-25,10,27,29,44,58,24
2021-10-27,3,6,26,35,51,17
2021-10-30,5,23,28,43,56,19
2021-11-01,9,25,34,44,45,8
2021-11-03,1,2,24,50,57,26
2021-11-06,8,30,48,57,64,9
2021-11-08,21,46,47,57,62,8
2021-11-10,19,25,43,46,48,14
2021-11-13,8,15,26,35,45,9
2021-11-15,5,31,34,51,53,23
2021-11-17,3,16,48,52,60,1
2021-11-20,40,43,48,59,69,19
2021-11-22,7,20,29,38,67,22
2021-11-24,10,16,32,63,65,17
2021-11-27,8,32,55,64,66,10
2021-11-29,18,26,28,38,47,17
2021-12-01,12,15,38,57,63,24
2021-12-04,10,40,45,56,67,2
2021-12-06,3,21,38,50,59,6
2021-12-08,3,7,33,50,69,24
2021-12-11,3,25,44,53,64,10
2021-12-13,10,30,37,53,59,4
2021-12-15,19,20,40,42,59,15
2021-12-18,2,6,24,51,61,1
2021-12-20,2,13,23,34,66,2
2021-12-22,7,16,19,48,68,15
2021-12-25,27,29,45,55,58,2
2021-12-27,36,38,45,62,64,19
2021-12-29,2,6,9,33,39,11
2022-01-01,6,12,39,48,50,7
2022-01-03,2,13,32,33,48,22
2022-01-05,6,14,25,33,46,17
2022-01-08,20,21,36,60,65,13
2022-01-10,14,17,18,21,27,9
2022-01-12,12,21,22,30,33,24
2022-01-15,3,18,37,51,59,13
2022-01-17,9,24,35,46,65,22
2022-01-19,11,15,43,55,61,10
2022-01-22,8,14,33,36,67,17
2022-01-24,11,29,30,47,53,16
2022-01-26,4,11,38,49,69,16
2022-01-29,2,15,38,54,65,11
2022-01-31,10,15,51,61,69,14
2022-02-02,18,29,33,62,63,15
2022-02-05,5,16,27,39,61,24
2022-02-07,5,15,38,47,65,10
2022-02-09,2,17,33,51,63,26
2022-02-12,8,10,21,41,62,7
2022-02-14,16,25,27,49,55,17
2022-02-16,22,30,40,42,48,16
2022-02-19,3,10,15,33,42,11
2022-02-21,2,36,37,45,69,3
2022-02-23,6,17,21,35,64,18
2022-02-26,15,32,36,48,64,19
2022-02-28,7,21,39,47,55,19
2022-03-02,19,37,48,61,63,12
2022-03-05,8,23,37,52,63,13
2022-03-07,10,43,55,59,67,2
2022-03-09,13,22,34,51,67,10
2022-03-14,21,28,32,44,49,6
2022-03-16,3,28,34,35,58,17
2022-03-19,8,9,18,48,52,6
2022-03-21,1,15,26,63,65,16
2022-03-23,31,32,37,38,48,24
2022-03-26,2,10,50,59,61,6
2022-03-28,11,18,39,58,62,3
2022-03-30,3,7,21,31,37,11
2022-04-02,6,28,47,58,59,18
2022-04-04,2,32,39,46,69,6
2022-04-06,6,42,45,47,64,18
2022-04-11,5,7,24,31,34,4
2022-04-13,14,16,41,63,68,26
2022-04-16,15,21,32,62,65,26
2022-04-18,8,33,55,59,62,18
2022-04-20,20,30,45,55,56,14
2022-04-23,10,39,47,49,56,8
2022-04-25,12,18,20,39,61,10
2022-04-27,11,36,61,62,68,4
2022-04-30,14,21,37,44,63,1
2022-05-02,18,27,33,39,44,8
2022-05-04,37,39,55,63,69,23
2022-05-07,4,5,6,28,67,10
2022-05-09,18,30,35,52,56,5
2022-05-11,5,7,61,63,69,18
2022-05-14,6,40,41,45,52,9
2022-05-16,7,15,22,36,64,13
2022-05-18,40,41,58,64,65,17
2022-05-21,14,15,25,52,58,11
2022-05-23,1,33,37,39,42,26
2022-05-25,19,28,39,42,57,17
2022-05-28,2,39,50,61,66,15
2022-05-30,27,28,51,68,69,22
2022-06-01,11,41,56,57,63,2
2022-06-04,14,16,36,52,60,16
2022-06-06,2,10,35,44,46,4
2022-06-08,22,39,43,62,64,7
2022-06-11,18,20,26,53,69,5
2022-06-13,2,27,42,44,51,25
2022-06-15,19,28,41,42,51,7
2022-06-18,10,19,40,45,58,25
2022-06-20,3,44,61,63,69,13
2022-06-22,6,10,31,48,56,12
2022-06-25,6,12,20,27,32,4
2022-06-27,11,13,18,30,37,16
2022-06-29,8,40,49,58,63,14
2022-07-02,9,10,37,59,62,26
2022-07-04,15,16,24,31,56,4
2022-07-06,32,36,49,62,69,13
2022-07-09,14,22,42,46,52,24
2022-07-11,4,26,34,37,52,9
2022-07-13,22,23,36,47,63,2
2022-07-16,3,18,23,32,57,21
2022-07-18,14,34,36,50,58,5
2022-07-20,10,20,23,49,65,22
2022-07-23,39,41,54,59,62,12
2022-07-25,25,37,38,39,65,5
2022-07-27,1,25,44,55,57,26
2022-07-30,4,17,57,58,68,12
2022-08-01,15,21,31,36,65,16
2022-08-03,9,21,56,57,66,11
2022-08-06,8,15,46,56,68,3
2022-08-08,32,45,51,57,58,12
2022-08-10,29,44,59,61,68,19
2022-08-13,19,24,35,43,62,2
2022-08-15,20,24,47,50,63,5
2022-08-17,23,28,41,50,55,24
2022-08-20,5,9,11,16,66,7
2022-08-22,12,27,34,55,67,9
2022-08-24,6,24,35,37,44,22
2022-08-27,2,18,56,60,65,14
2022-08-29,13,36,43,61,69,18
2022-08-31,7,8,19,24,28,1
2022-09-03,18,27,49,65,69,9
2022-09-05,4,7,32,55,64,25
2022-09-07,3,16,30,33,36,20
2022-09-10,38,42,56,68,69,4
2022-09-12,6,14,16,34,66,25
2022-09-14,9,10,20,22,52,25
2022-09-17,5,25,36,51,61,1
2022-09-19,7,15,36,46,67,7
2022-09-21,6,33,34,45,54,7
2022-09-24,3,9,21,24,29,14
2022-09-26,13,20,31,33,59,20
2022-09-28,6,10,24,33,67,11
2022-10-01,8,21,22,65,69,26
2022-10-03,2,16,22,55,63,22
2022-10-05,26,30,33,37,62,6
2022-10-08,13,43,53,60,68,5
2022-10-10,3,6,11,17,22,11
2022-10-12,14,30,41,42,59,6
2022-10-15,32,37,40,58,62,15
2022-10-17,19,30,36,46,60,25
2022-10-19,6,8,15,27,42,10
2022-10-22,19,25,48,55,60,18
2022-10-24,18,23,35,45,54,16
2022-10-26,19,36,37,46,56,24
2022-10-29,19,31,40,46,57,23
2022-10-31,13,19,36,39,59,13
2022-11-02,2,11,22,35,60,23
2022-11-05,28,45,53,56,69,20
2022-11-09,7,14,24,30,56,7
2022-11-12,16,20,44,57,58,6
2022-11-14,19,35,53,54,67,21
2022-11-16,28,34,51,53,56,11
2022-11-19,7,28,62,63,64,10
2022-11-21,1,6,40,51,67,2
2022-11-23,1,2,31,39,66,25
2022-11-26,15,30,47,50,51,3
2022-11-28,29,30,32,48,50,20
2022-11-30,4,19,24,47,66,10
2022-12-03,6,13,33,36,37,7
2022-12-05,35,45,47,54,55,14
2022-12-07,6,28,44,59,61,21
2022-12-10,9,23,47,49,68,19
2022-12-12,16,31,50,55,61,9
2022-12-14,36,51,59,66,68,25
2022-12-17,33,56,64,66,68,12
2022-12-19,7,37,55,65,67,12
2022-12-21,12,15,24,34,59,14
2022-12-24,17,37,46,54,67,8
2022-12-26,17,41,47,60,61,17
2022-12-28,26,32,38,45,56,1
2022-12-31,18,37,44,50,64,11
2023-01-02,7,9,12,31,62,22
2023-01-04,12,32,56,67,68,26
2023-01-07,35,36,44,45,67,14
2023-01-09,18,43,48,60,69,14
2023-01-11,4,8,46,47,48,5
2023-01-14,24,26,39,47,57,23
2023-01-16,4,14,33,39,61,3
2023-01-18,6,15,22,42,47,26
2023-01-21,5,14,19,46,64,22
2023-01-23,12,31,47,58,60,23
2023-01-25,9,17,20,38,40,18
2023-01-28,2,18,23,27,47,15
2023-01-30,1,4,12,36,49,5
2023-02-01,31,43,58,59,66,9
2023-02-04,2,8,15,19,58,10
2023-02-06,5,11,22,23,69,7
2023-02-08,52,58,59,64,66,9
2023-02-11,10,23,30,54,65,11
2023-02-13,17,26,37,61,65,2
2023-02-15,31,32,54,60,63,12
2023-02-18,8,21,31,32,37,23
2023-02-20,3,17,26,38,54,15
2023-02-22,11,19,39,44,65,7
2023-02-25,11,24,58,66,67,26
2023-02-27,16,28,49,51,55,23
2023-03-01,2,9,28,36,53,4
2023-03-04,10,16,18,40,66,16
2023-03-06,2,13,29,58,69,4
2023-03-08,26,27,43,61,69,4
2023-03-11,11,20,33,43,58,24
2023-03-13,3,10,24,46,63,4
2023-03-15,16,18,33,37,50,8
2023-03-18,14,20,30,54,69,11
2023-03-20,1,27,32,47,67,14
2023-03-22,27,28,37,50,57,5
2023-03-25,15,17,18,47,57,19
2023-03-27,19,26,36,43,58,14
2023-03-29,4,9,24,46,66,7
2023-04-01,11,19,21,29,52,17
2023-04-03,16,30,31,54,68,1
2023-04-05,3,5,9,42,52,11
2023-04-08,11,22,24,51,60,18
2023-04-10,9,10,36,46,52,14
2023-04-12,9,36,41,44,59,4
2023-04-15,1,33,34,56,59,18
2023-04-17,23,25,35,63,64,25
2023-04-19,4,11,21,38,64,11
2023-04-22,17,36,47,63,68,25
2023-04-24,19,21,55,66,68,3
2023-04-26,2,15,30,35,49,6
